method_id,nombre_de_la_funcion,firma
0xb510391f,mint,"mint(address,bytes)"
0xeb672419,requestL2Transaction,"requestL2Transaction(address,uint256,bytes,uint256,uint256,bytes[],address)"
0xfaf039f4,mintCharacter,mintCharacter()
0x8ae541cb,fight,"fight(uint256,uint256,uint32,uint8)"
0xe6c6b7f0,mintWeapon,mintWeapon()
0xbc67e887,claimXpRewards,claimXpRewards()
0xf6d36ccb,addListing,"addListing(address,uint256,uint256)"
0x6a40701c,claimBNBReward,claimBNBReward()
0x5c11d795,watch_tg_invmru_77e6c68,"watch_tg_invmru_77e6c68(uint256,bool,address)"
0xed9999ca,changeListingPrice,"changeListingPrice(address,uint256,uint256)"
0x0ec32977,claimTokenRewards,claimTokenRewards()
0xfb3bdb41,transfer_attention_tg_invmru_589df09,"transfer_attention_tg_invmru_589df09(bool,bool,uint256)"
0x88f56f09,battle,"battle(uint256,uint8)"
0xb88a802f,claimReward,claimReward()
0x35e4365f,placeOrder,"placeOrder(uint256,uint256,address)"
0x2851ff81,evolveEgg,evolveEgg(uint256)
0x310f2668,buyLE,buyLE(uint256)
0x44ddc37b,claimSeed,"claimSeed(uint256,address,uint256,uint256,uint256,uint8,bytes32,bytes32)"
0xb6ace2fd,exchangeToken,"exchangeToken(uint256,address,uint256,uint8,bytes32,bytes32)"
0x8c4e7e2a,depositWithX,"depositWithX(uint256,uint256)"
0x1071a290,withdrawUnderlying,withdrawUnderlying(uint256)
0x51ed8288,buyNFT,buyNFT(uint256)
0x5334e8b4,queueMint,queueMint(uint8)
0x82c07d5d,revealNFT,revealNFT(uint8)
0xcf4df16f,mintFleet,"mintFleet(uint256[],uint256[],string,bool)"
0x0df45469,addFuelToFleet,"addFuelToFleet(uint256,uint32,bool)"
0x2fb44d15,contractFleet,"contractFleet(uint256,uint8,bool)"
0x13f78a49,goMine,"goMine(uint256,uint256)"
0xbaa2abde,transfer_attention_tg_invmru_9d6bd21,"transfer_attention_tg_invmru_9d6bd21(address,uint256,uint256)"
0xd7bb99ba,contribute,contribute()
0xbe27b22c,claim,"claim(bytes,bytes)"
0x3ce33bff,bridge,"bridge(string,address,uint256,bytes)"
0x2e4dbe8f,claim,"claim(uint256,address,uint256,uint256,bytes)"
0xf75e0384,claimNFT,"claimNFT((address,uint256,bytes))"
0xcfc93274,transferNFT,"transferNFT(address,uint256,uint16,address,bytes)"
0xf2c298be,register,register(string)
0x47175878,createSetAndManager,"createSetAndManager(address[],int256[],string,string,address,address,address[],address[],address[],address[])"
0xad823822,initialize,"initialize(address,uint256,address,address[],bytes[])"
0xb969b4bf,accrueFeesAndDistribute,accrueFeesAndDistribute(address)
0xd365a377,removeOperators,removeOperators(address[])
0x39bf70d1,callOnExtension,"callOnExtension(address,uint256,bytes)"
0xb48951e4,collectWithSig,"collectWithSig((address,uint256,uint256,bytes,(uint8,bytes32,bytes32,uint256)))"
0x6af8e7eb,redeemSharesInKind,"redeemSharesInKind(address,uint256,address[],address[])"
0x24904cb3,faucetDrip,faucetDrip()
0x5c833bfd,redeem,"redeem(address,uint256,address)"
0x79433d8b,depositNativeToken,depositNativeToken()
0xac7b22dc,transferNFT,"transferNFT(address,uint256,uint16,bytes32)"
0x23b872dd,watch_tg_invmru_faebe36,"watch_tg_invmru_faebe36(bool,bool,bool)"
0x18a13086,swapExactTokensForETH,"swapExactTokensForETH(uint256,uint256,(address,address,bool)[],address,uint256)"
0x9caf2b97,directRegister,"directRegister(string,address,uint256,string,address,address,bytes32)"
0xdb6b5246,depositNative,depositNative()
0x39f47693,unwrap,"unwrap(address,uint256)"
0xc47f0027,setName,setName(string)
0x07ed2379,swap,"swap(address,(address,address,address,address,uint256,uint256,uint256),bytes)"
0x6b634a62,bridgeETH,"bridgeETH(uint32,uint256)"
0x24856bc3,execute,"execute(bytes,bytes[])"
0xd47eaa37,withdrawAllBase,withdrawAllBase()
0xa4d73041,fillBatchSignedERC721Order,"fillBatchSignedERC721Order((uint256,uint256,uint256,bytes32,bytes32),bytes)"
0xd0febe4c,buyTokens,buyTokens()
0x598647f8,bid,"bid(uint256,uint256)"
0xaa7415f5,transferOut,"transferOut(address,address,uint256,uint64)"
0xc9b298f1,presaleMint,presaleMint(uint256)
0xc83980dd,createNewFund,"createNewFund(address,string,string,address,uint256,bytes,bytes)"
0xbeebc5da,buyShares,"buyShares(uint256,uint256)"
0xd96a094a,buy,buy(uint256)
0xe9125120,mint,"mint(uint32,uint256)"
